space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_7_13_1.8685_12.8711,18.57405853960381,-0.349,0.274,5869,9,0.0016
2022_7_13_1.8685_12.8711,18.66368866236305,-0.349,0.274,5897,9,0.0016
2022_7_13_1.8685_12.8711,17.62485376858958,-0.349,0.274,5569,9,0.0016
2022_7_13_1.8685_12.8711,0.092720387938085,-0.349,0.274,29,0,0.0016
2022_7_13_1.8685_12.8711,8.384869172397147,-0.723,0.272,1760,3,0.0016
2022_7_13_1.8685_12.8711,24.01648916477167,-0.538,0.272,7589,12,0.0016
2022_7_13_1.8685_12.8711,24.07086216680772,-0.538,0.272,7606,12,0.0016
2022_7_13_1.8685_12.8711,24.163986435119508,-0.598,0.272,7635,12,0.0016
2022_7_13_1.8685_12.8711,23.97219839530107,-0.598,0.272,7575,12,0.0016
2022_7_13_1.8685_12.8711,23.80819710965961,-0.598,0.272,7523,12,0.0016
2022_7_13_1.8685_12.8711,19.742782654227344,-0.598,0.272,6238,10,0.0016
2022_7_13_1.8685_12.8711,18.28807880774609,-0.378,0.273,5779,9,0.0016
2022_7_13_1.8685_12.8711,18.121762380190244,-0.378,0.273,5726,9,0.0016
2022_7_13_1.8685_12.8711,18.396466175287607,-0.378,0.273,5813,9,0.0016
2022_7_13_1.8685_12.8711,18.406115686780677,-0.378,0.273,5816,9,0.0016
2022_7_13_1.8685_12.8711,18.385887239548435,-0.63,0.329,3861,6,0.0016
2022_7_13_1.8685_12.8711,18.296086673155926,-0.63,0.329,3842,6,0.0016
2022_7_13_1.8685_12.8711,18.245510503858053,-0.63,0.329,3831,6,0.0016
2022_7_13_1.8685_12.8711,18.137195537117044,-0.63,0.329,3808,6,0.0016
2022_7_13_1.8685_12.8711,18.2491760049082,-0.63,0.329,3832,6,0.0016
2022_7_13_1.8685_12.8711,18.356450420592445,-0.504,0.273,5800,9,0.0016
2022_7_13_1.8685_12.8711,18.534795483657625,-0.349,0.274,5856,9,0.0016
2022_7_13_1.8685_12.8711,18.32285981610837,-0.349,0.274,5790,9,0.0016
2022_7_13_1.8685_12.8711,18.47299382262565,-0.349,0.274,5837,9,0.0016
2022_7_13_1.8685_12.8711,18.61822983072467,-0.349,0.274,5883,9,0.0016
2022_7_13_1.8685_12.8711,18.2802123764604,-0.349,0.274,5776,9,0.0016
2022_7_13_1.8685_12.8711,1.679710822920939,-0.633,0.274,352,1,0.0016
2022_7_13_1.8685_12.8711,9.549031984872846,-0.789,0.272,2005,3,0.0016
2022_7_13_1.8685_12.8711,23.78307980032684,-0.538,0.272,7515,12,0.0016
2022_7_13_1.8685_12.8711,23.84135882449583,-0.538,0.272,7533,12,0.0016
2022_7_13_1.8685_12.8711,23.937259758731265,-0.671,0.273,5026,8,0.0016
2022_7_13_1.8685_12.8711,24.061848977844218,-0.671,0.273,5052,8,0.0016
2022_7_13_1.8685_12.8711,23.810427873060892,-0.671,0.273,5000,8,0.0016
2022_7_13_1.8685_12.8711,20.587806950059367,-0.671,0.273,4323,7,0.0016
2022_7_13_1.8685_12.8711,17.992582098385387,-0.378,0.273,5685,9,0.0016
2022_7_13_1.8685_12.8711,18.036383127267268,-0.378,0.273,5699,9,0.0016
2022_7_13_1.8685_12.8711,18.022696463274546,-0.378,0.273,5695,9,0.0016
2022_7_13_1.8685_12.8711,18.179124139284365,-0.378,0.273,5744,9,0.0016
2022_7_13_1.8685_12.8711,18.184513610490896,-0.63,0.329,3818,6,0.0016
2022_7_13_1.8685_12.8711,18.3450595765907,-0.63,0.329,3852,6,0.0016
2022_7_13_1.8685_12.8711,18.243073809821663,-0.63,0.329,3831,6,0.0016
2022_7_13_1.8685_12.8711,18.14997957614887,-0.63,0.329,3811,6,0.0016
2022_7_13_1.8685_12.8711,17.02205299283936,-0.63,0.329,3574,6,0.0016
2022_7_13_1.8685_12.8711,16.52396887312842,-0.341,0.275,5221,8,0.0016
2022_7_13_1.8685_12.8711,16.730907057171088,-0.7,0.274,3513,6,0.0016
2022_7_13_1.8685_12.8711,16.17960169882958,-0.7,0.274,3397,5,0.0016
2022_7_13_1.8685_12.8711,15.314306185719143,-0.7,0.274,3216,5,0.0016
2022_7_13_1.8685_12.8711,13.922233216967491,-0.7,0.274,2923,5,0.0016
2022_7_13_1.8685_12.8711,12.46028653692993,-0.7,0.274,2616,4,0.0016
2022_7_13_1.8685_12.8711,1.455800143840771,-0.633,0.274,305,0,0.0016
2022_7_13_1.8685_12.8711,8.065519200491934,-0.789,0.272,1693,3,0.0016
2022_7_13_1.8685_12.8711,23.245783239530407,-0.789,0.272,4881,8,0.0016
2022_7_13_1.8685_12.8711,23.677776844823534,-0.671,0.273,4972,8,0.0016
2022_7_13_1.8685_12.8711,23.690823275626585,-0.671,0.273,4975,8,0.0016
2022_7_13_1.8685_12.8711,23.664626029105783,-0.671,0.273,4969,8,0.0016
2022_7_13_1.8685_12.8711,23.73685533970788,-0.671,0.273,4984,8,0.0016
2022_7_13_1.8685_12.8711,21.7617529984891,-0.671,0.273,4569,7,0.0016
2022_7_13_1.8685_12.8711,18.086617720886554,-0.472,0.273,5715,9,0.0016
2022_7_13_1.8685_12.8711,18.092746125598907,-0.378,0.273,5717,9,0.0016
2022_7_13_1.8685_12.8711,18.06557405865942,-0.378,0.273,5708,9,0.0016
2022_7_13_1.8685_12.8711,18.261154350384388,-0.378,0.273,5770,9,0.0016
2022_7_13_1.8685_12.8711,18.059738605159662,-0.63,0.329,3792,6,0.0016
2022_7_13_1.8685_12.8711,18.063075555199536,-0.63,0.329,3793,6,0.0016
2022_7_13_1.8685_12.8711,18.280979066180187,-0.63,0.329,3839,6,0.0016
2022_7_13_1.8685_12.8711,18.17015595853531,-0.63,0.329,3815,6,0.0016
2022_7_13_1.8685_12.8711,17.478836550737586,-0.341,0.275,5523,9,0.0016
2022_7_13_1.8685_12.8711,13.658066638005822,-0.341,0.275,4315,7,0.0016
2022_7_13_1.8685_12.8711,11.319297353161,-0.7,0.274,2377,4,0.0016
2022_7_13_1.8685_12.8711,9.996588106234697,-0.7,0.274,2099,3,0.0016
2022_7_13_1.8685_12.8711,8.982880096169344,-0.7,0.274,1886,3,0.0016
2022_7_13_1.8685_12.8711,8.549855268929795,-0.7,0.274,1795,3,0.0016
2022_7_13_1.8685_12.8711,8.586363051291578,-0.7,0.274,1803,3,0.0016
2022_7_13_1.8685_12.8711,0.68712423507438,-0.633,0.274,144,0,0.0016
2022_7_13_1.8685_12.8711,4.32720684072128,-0.591,0.272,1367,2,0.0016
2022_7_13_1.8685_12.8711,23.640420239503232,-0.95,0.273,4964,8,0.0016
2022_7_13_1.8685_12.8711,23.66147162097859,-0.95,0.273,4968,8,0.0016
2022_7_13_1.8685_12.8711,22.00734214917945,-0.453,0.273,6954,11,0.0016
2022_7_13_1.8685_12.8711,18.75997126239381,-0.453,0.273,5928,9,0.0016
2022_7_13_1.8685_12.8711,18.00597522510128,-0.453,0.273,5689,9,0.0016
2022_7_13_1.8685_12.8711,17.55749695781707,-0.472,0.273,5548,9,0.0016
2022_7_13_1.8685_12.8711,17.48825165071182,-0.472,0.273,5526,9,0.0016
2022_7_13_1.8685_12.8711,17.93793198824228,-0.472,0.273,5668,9,0.0016
2022_7_13_1.8685_12.8711,17.954739085272674,-0.574,0.274,5673,9,0.0016
2022_7_13_1.8685_12.8711,18.22326541624123,-0.574,0.274,5758,9,0.0016
2022_7_13_1.8685_12.8711,18.216258390513104,-0.63,0.329,3825,6,0.0016
2022_7_13_1.8685_12.8711,18.085207479976383,-0.63,0.329,3797,6,0.0016
2022_7_13_1.8685_12.8711,18.096441954430965,-0.63,0.329,3800,6,0.0016
2022_7_13_1.8685_12.8711,17.93575176279309,-0.341,0.275,5667,9,0.0016
2022_7_13_1.8685_12.8711,17.96087065367667,-0.341,0.275,5675,9,0.0016
2022_7_13_1.8685_12.8711,14.1017150374334,-0.341,0.275,4456,7,0.0016
2022_7_13_1.8685_12.8711,8.936492419939032,-0.341,0.275,2823,5,0.0016
2022_7_13_1.8685_12.8711,8.620180429494443,-0.694,0.275,1810,3,0.0016
2022_7_13_1.8685_12.8711,8.563505511046426,-0.694,0.275,1798,3,0.0016
2022_7_13_1.8685_12.8711,8.524806930225985,-0.694,0.275,1790,3,0.0016
2022_7_13_1.8685_12.8711,7.825972170409023,-0.694,0.275,1643,3,0.0016
2022_7_13_1.8685_12.8711,0.005418986280029,-0.717,0.275,1,0,0.0016
2022_7_13_1.8685_12.8711,0.201082478994338,-0.591,0.272,63,0,0.0016
2022_7_13_1.8685_12.8711,21.58969912477831,-0.95,0.273,4533,7,0.0016
2022_7_13_1.8685_12.8711,22.11683687307345,-0.95,0.273,4644,7,0.0016
2022_7_13_1.8685_12.8711,14.499226996631046,-0.453,0.273,4581,7,0.0016
2022_7_13_1.8685_12.8711,11.221638672104197,-0.453,0.273,3546,6,0.0016
2022_7_13_1.8685_12.8711,11.539141357215208,-0.453,0.273,3646,6,0.0016
2022_7_13_1.8685_12.8711,12.46789247762838,-0.472,0.273,3939,6,0.0016
2022_7_13_1.8685_12.8711,13.493713442528108,-0.472,0.273,4264,7,0.0016
2022_7_13_1.8685_12.8711,14.059410987557555,-0.472,0.273,4442,7,0.0016
2022_7_13_1.8685_12.8711,13.942318246466456,-0.574,0.274,4405,7,0.0016
2022_7_13_1.8685_12.8711,14.265753641682078,-0.574,0.274,4507,7,0.0016
2022_7_13_1.8685_12.8711,16.619664121022186,-0.574,0.274,5251,8,0.0016
2022_7_13_1.8685_12.8711,18.320308132948124,-0.63,0.329,3847,6,0.0016
2022_7_13_1.8685_12.8711,18.06864438847379,-0.341,0.275,5709,9,0.0016
2022_7_13_1.8685_12.8711,17.805687619200636,-0.341,0.275,5626,9,0.0016
2022_7_13_1.8685_12.8711,16.779325403933306,-0.341,0.275,5302,8,0.0016
2022_7_13_1.8685_12.8711,13.294018992775392,-0.341,0.275,4200,7,0.0016
2022_7_13_1.8685_12.8711,10.1528367039852,-0.341,0.275,3208,5,0.0016
2022_7_13_1.8685_12.8711,8.641177455282246,-0.694,0.275,1814,3,0.0016
2022_7_13_1.8685_12.8711,8.632122664901173,-0.694,0.275,1812,3,0.0016
2022_7_13_1.8685_12.8711,8.75474743930866,-0.694,0.275,1838,3,0.0016
2022_7_13_1.8685_12.8711,5.757250311546516,-0.694,0.275,1209,2,0.0016
2022_7_13_1.8685_12.8711,12.717551101043496,-0.95,0.273,2670,4,0.0016
2022_7_13_1.8685_12.8711,19.42320042972393,-0.95,0.273,4078,7,0.0016
2022_7_13_1.8685_12.8711,11.682642444090742,-0.453,0.273,3691,6,0.0016
2022_7_13_1.8685_12.8711,10.778360063821331,-0.453,0.273,3405,5,0.0016
2022_7_13_1.8685_12.8711,10.858212468769372,-0.453,0.273,3431,5,0.0016
2022_7_13_1.8685_12.8711,11.054449204699145,-0.472,0.273,3493,6,0.0016
2022_7_13_1.8685_12.8711,11.007949511375934,-0.472,0.273,3478,6,0.0016
2022_7_13_1.8685_12.8711,10.807634593338191,-0.472,0.273,3415,5,0.0016
2022_7_13_1.8685_12.8711,10.822567726210629,-0.574,0.274,3419,5,0.0016
2022_7_13_1.8685_12.8711,11.02931598704355,-0.574,0.274,3485,6,0.0016
2022_7_13_1.8685_12.8711,14.66200488815087,-0.574,0.274,4633,7,0.0016
2022_7_13_1.8685_12.8711,18.33385191306008,-0.574,0.274,5793,9,0.0016
