space_time_id,pop,rwi,error,lon_tile,lat_tile
2022_7_13_1.8685_12.8711,22.22274923663462,-0.781,0.272,200699.76614247743,1450641.5386631177
2022_7_13_1.8685_12.8711,22.14640755690337,-0.781,0.272,201627.42856204405,1450641.5386631177
2022_7_13_1.8685_12.8711,22.038172221946255,-0.781,0.272,202555.0909816107,1450641.5386631177
2022_7_13_1.8685_12.8711,20.473406076302545,-0.999,0.272,203482.75340117735,1450641.5386631177
2022_7_13_1.8685_12.8711,18.18303780298484,-0.999,0.272,204410.41582074398,1450641.5386631177
2022_7_13_1.8685_12.8711,18.148959973786386,-0.999,0.272,205338.0782403106,1450641.5386631177
2022_7_13_1.8685_12.8711,18.001444871778318,-0.712,0.273,206265.74065987725,1450641.5386631177
2022_7_13_1.8685_12.8711,18.037838228508107,-0.712,0.273,207193.4030794439,1450641.5386631177
2022_7_13_1.8685_12.8711,17.198310462214703,-0.561,0.288,208121.0654990105,1450641.5386631177
2022_7_13_1.8685_12.8711,14.424143444353014,-0.561,0.288,209048.72791857712,1450641.5386631177
2022_7_13_1.8685_12.8711,13.70637032576752,-0.561,0.288,209976.39033814377,1450641.5386631177
2022_7_13_1.8685_12.8711,13.437012164999407,-0.504,0.273,210904.0527577104,1450641.5386631177
2022_7_13_1.8685_12.8711,17.24341188648771,-0.504,0.273,211831.715177277,1450641.5386631177
2022_7_13_1.8685_12.8711,18.64166381621625,-0.504,0.273,212759.37759684364,1450641.5386631177
2022_7_13_1.8685_12.8711,18.534536566433403,-0.439,0.274,213687.0400164103,1450641.5386631177
2022_7_13_1.8685_12.8711,18.572714984389368,-0.439,0.274,214614.7024359769,1450641.5386631177
2022_7_13_1.8685_12.8711,18.772884571608255,-0.493,0.273,215542.36485554354,1450573.7574321742
2022_7_13_1.8685_12.8711,4.496039219479424,-0.493,0.273,216083.4382165594,1450773.5593230305
2022_7_13_1.8685_12.8711,3.668528759079756,-0.796,0.272,199184.5093032546,1449468.7294783527
2022_7_13_1.8685_12.8711,22.990316775977874,-0.796,0.272,199772.1037229108,1449574.6855141497
2022_7_13_1.8685_12.8711,23.650758731699025,-0.606,0.272,200699.76614247743,1449689.7950684642
2022_7_13_1.8685_12.8711,23.669317697342038,-0.606,0.272,201627.42856204405,1449689.7950684642
2022_7_13_1.8685_12.8711,23.76075861862231,-0.606,0.272,202555.0909816107,1449689.7950684642
2022_7_13_1.8685_12.8711,18.60387190787304,-0.669,0.273,203482.75340117735,1449689.7950684642
2022_7_13_1.8685_12.8711,18.228134104843527,-0.669,0.273,204410.41582074398,1449689.7950684642
2022_7_13_1.8685_12.8711,18.036781924094257,-0.669,0.273,205338.0782403106,1449689.7950684642
2022_7_13_1.8685_12.8711,18.077587736224352,-0.961,0.273,206265.74065987725,1449689.7950684642
2022_7_13_1.8685_12.8711,18.13409819526318,-0.961,0.273,207193.4030794439,1449689.7950684642
2022_7_13_1.8685_12.8711,18.33422887958638,-0.762,0.288,208121.0654990105,1449689.7950684642
