space_time_id,GID_0,NAME_0,GID_2,NAME_1,year,month,day,country,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,source,radio,mcc,net,ran_usd,tower_usd,power_usd,backhaul_usd,labor_usd,total_usd,pop,wealth_usd,wealth_cfa,usd_to_cfa
2022_4_17_-4.6738_12.8592,MLI,Mali,MLI.7.7_1,Ségou,2022,4,17,Mali,Segou,Diora,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 17 April 2022, presumed JNIM militants destroyed a telecommunications antenna in the commune of Diora, location coded as Diora (Tominian, Segou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,14573.241917831834,5047926,8078,0.0016
2021_12_20_-2.2198_15.0766,MLI,Mali,MLI.6.4_1,Mopti,2021,12,20,Mali,Mopti,Boni,communications,antenna,Remote explosive/landmine/IED,ied,destroyed,"On 20 December 2021, overnight, presumed JNIM militants set off explosives and destroyed a telecommunications antenna in the area of Boni (Douentza, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,,,,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,7550.339715544643,3066048,4911,0.0016
2021_10_15_-3.9728_16.6877,MLI,Mali,MLI.9.2_1,Timbuktu,2021,10,15,Mali,Tombouctou,Mbouna,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 15 October 2021, JNIM militants destroyed a telecommunications antenna in the village of Mbouna (Goundam, Tombouctou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,2891.33077703593,1223445,1949,0.0016
2012_5_1_-8.0722_12.7482,MLI,Mali,MLI.5.4_1,Koulikoro,2012,5,1,Mali,Koulikoro,Kati,communications,other,Armed clash,battle,unknown,"Fighting erupted late Monday at ORTM, Bamako airport and at Kati, the garrison town near the capital that is the juntas headquarters and continued Tuesday.",0,Mutiny of Military Forces of Mali (2002-2012),,State Forces,Military Forces of Mali (2012-2013),,State Forces,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,LTE,610.0,2.0,40000,15000,5000,30000,1000,91000,190152.7612279032,164613573,263388,0.0016
2023_3_1_-3.0552_14.3089,MLI,Mali,MLI.6.5_1,Mopti,2023,3,1,Mali,Mopti,Barapireli,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 1 March 2023, presumed JNIM militants destroyed a telecommunications antenna and hauled down and removed a flag at a school in the village of Barapireli (Koro, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,15463.280762362234,5700365,9130,0.0016
2021_7_25_-3.766_13.5025,MLI,Mali,MLI.6.2_1,Mopti,2021,7,25,Mali,Mopti,Sokoura,communications,antenna,Looting/property destruction,ransacking,unknown,"Property destruction: On 25 July 2021, presumed Katiba Macina (JNIM) militants vandalized a telecommunications antenna in the town of Sokoura (Bankass, Mopti).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,610.0,2.0,40000,15000,5000,30000,1000,91000,21011.36911217088,8843811,14150,0.0016
2022_5_17_3.0224_15.422,MLI,Mali,MLI.2.4_1,Gao,2022,5,17,Mali,Menaka,Anderamboukane,communications,radio station,Looting/property destruction,ransacking,looting,"Looting: On 17 May 2022, presumed IS Sahel militants looted a radio station and looted and vandalized the mayor office and a primary school in the town of Anderamboukane (Anderamboukane, Menaka).",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Mali),Government of Mali (2021-),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,6086.9028920156725,2564025,4105,0.0016
2022_1_16_-3.4418_13.8162,MLI,Mali,MLI.6.2_1,Mopti,2022,1,16,Mali,Mopti,Kologon-Habe,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 January 2022, presumed JNIM militants burned a telecommunications antenna in the commune of Koulogon Habe, location coded as Kologon-Habe (Bankass, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,20617.34680507361,6777045,10847,0.0016
2021_8_13_-0.4769_16.2036,MLI,Mali,MLI.2.3_1,Gao,2021,8,13,Mali,Gao,Intahaka,communications,antenna,Looting/property destruction,ransacking,unknown,"Property destruction: On 13 August 2021, suspected JNIM militants vandalized a telecommunications antenna in the commune of Intahaka (Gao, Gao).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,827.6506405577313,305638,476,0.0016
2021_7_10_-3.709_13.6185,MLI,Mali,MLI.6.2_1,Mopti,2021,7,10,Mali,Mopti,Tori,communications,antenna,Looting/property destruction,ransacking,unknown,"Property destruction: On 10 July 2021, presumed Katiba Macina (JNIM) militants vandalized a telecommunications antenna in the village of Tori (Bankass, Mopti).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,20364.923661414152,7767069,12424,0.0016
2022_1_18_-2.9051_14.4111,MLI,Mali,MLI.6.5_1,Mopti,2022,1,18,Mali,Mopti,Karakindje,communications,antenna,Remote explosive/landmine/IED,ied,destroyed,"On 18 January 2022, presumed JNIM militants detonated a telecommunications antenna in the village of Karakindje (Koro, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,,,,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,10388.991802210214,3520295,5638,0.0016
2020_6_24_0.7464_15.3217,MLI,Mali,MLI.2.1_1,Gao,2020,6,24,Mali,Gao,Fafa,communications,antenna,Attack on civilians,sabotage,unknown,"On 24 June 2020, unknown gunmen entered the village of Fafa (Ansongo, Gao), assaulted and robbed employees of a telecommunications company and sabotaged a telecommunications antenna.",0,Unidentified Armed Group (Mali),,Political Militias,Civilians (Mali),Labour Group (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,3247.139070919736,1211307,1934,0.0016
2022_1_30_-5.2547_14.8252,MLI,Mali,MLI.6.7_1,Mopti,2022,1,30,Mali,Mopti,Dioura,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 30 January 2022, presumed JNIM militants burned a telecommunications installation in the village of Dioura (Tenenkou, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,3175.1876717897376,1133603,1809,0.0016
2021_8_19_-4.3618_12.7903,MLI,Mali,MLI.7.7_1,Ségou,2021,8,19,Mali,Segou,Mafoune,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 19 August 2021, presumed Katiba Macina (JNIM) militants burned the residence of the subprefect and a telecommunications antenna in the town of Mafoune (Tominian, Segou).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),Government of Mali (2021-),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,8853.573162192568,2998823,4790,0.0016
2022_8_16_-1.9231_16.8778,MLI,Mali,MLI.9.3_1,Timbuktu,2022,8,16,Mali,Tombouctou,Gourma-Rharous,communications,installation,Looting/property destruction,destruction,destroyed,"Property destruction: On 16 August 2022, presumed JNIM militants destroyed a telecommunications installation near the town of Gourma-Rharous (Gourma-Rharous, Tombouctou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,14329.427179885492,6000376,9604,0.0016
2021_9_27_-4.2628_15.3684,MLI,Mali,MLI.6.8_1,Mopti,2021,9,27,Mali,Mopti,Youwarou,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: Around 27 September 2021 (week of), presumed Katiba Macina (JNIM) militants destroyed telecommunication antennas and mausoleums in the cercle of Youwarou (Youwarou, Mopti).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),Sufi Muslim Group (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,610.0,2.0,40000,15000,5000,30000,1000,91000,12486.936392538815,6013465,9625,0.0016
2022_3_10_-3.2359_16.09,MLI,Mali,MLI.9.1_1,Timbuktu,2022,3,10,Mali,Tombouctou,Sareyamou,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 10 March 2022, presumed JNIM militants destroyed telecommunications antennas in the village of Sareyamou (Dire, Tombouctou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,10680.2958657042,3999476,6401,0.0016
2022_9_7_1.5167_16.5333,MLI,Mali,MLI.2.4_1,Gao,2022,9,7,Mali,Gao,Talataye,communications,other,Attack on civilians,arson,burned,"Around 7 September 2022 (between 6 - 8 September), IS Sahel militants killed at least thirty civilians from the Dawsahak, Tuareg, Djerma, and Songhai communities in the village of Talataye (Ansongo, Gao). The militants also destroyed and burned houses, t",30,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Mali),Dawsahak Ethnic Group (Mali); Tuareg Ethnic Group (Mali); Songhai Ethnic Group (Mali); Djerma Ethnic Group (Mali); Labour Group (Mali); Health Workers (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,2325.963372675256,1022196,1624,0.0016
2021_3_16_-2.8059_14.3467,MLI,Mali,MLI.6.5_1,Mopti,2021,3,16,Mali,Mopti,Dounapen,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: Around 16 March 2021 (as reported), presumed Katiba Macina (JNIM) militants sabotaged a telecommunications antenna in the village of Dounapen (Koro, Mopti).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,7743.944624407359,2893107,4626,0.0016
2022_5_9_0.549_15.4992,MLI,Mali,MLI.2.1_1,Gao,2022,5,9,Mali,Gao,Gounga,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 9 May 2022, IS Sahel militants destroyed a telecommunications antenna in the village of Gounga (Ansongo, Gao).",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,6153.396016453881,2352576,3757,0.0016
2022_1_19_-0.6354_16.92,MLI,Mali,MLI.2.2_1,Gao,2022,1,19,Mali,Gao,Chabaria,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 19 January 2022, presumed JNIM militants sabotaged a telecommunications installation in the village of Chabaria (Bourem, Gao).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,3339.8607530500194,1218025,1940,0.0016
2017_10_23_-4.4005_13.6933,MLI,Mali,MLI.7.7_1,Ségou,2017,10,23,Mali,Segou,Wa,communications,installation,Armed clash,sabotage,disruption,"The village of Ouan (Cercle of Tominian) also under attack, telecomms cut, one gendarme killed two wounded. JNIM claimed the attack on October, 26th.",1,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Police Forces of Mali (2013-2020) Gendarmerie,,State Forces,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,610.0,1.0,40000,15000,5000,30000,1000,91000,13134.891027897404,4801573,7685,0.0016
2021_8_13_-3.9484_15.2615,MLI,Mali,MLI.6.6_1,Mopti,2021,8,13,Mali,Mopti,Sindegue,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 13 August 2021, presumed Katiba Macina (JNIM) militants burned a telecommunications antenna in the village of Sindegue (Mopti, Mopti).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,14221.46355543452,5519100,8839,0.0016
2022_1_12_-0.1061_16.6053,MLI,Mali,MLI.2.3_1,Gao,2022,1,12,Mali,Gao,Hamakouladji,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 12 January 2022, presumed Al Mourabitoune Battalion (JNIM) militants destroyed a telecommunications antenna in the village of Hamakouladji (Gao, Gao).",0,Al Mourabitoune Battalion,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,13184.192648477489,5640548,9028,0.0016
2022_5_2_-4.6745_13.1361,MLI,Mali,MLI.7.7_1,Ségou,2022,5,2,Mali,Segou,Yasso,communications,telecommunications station,Looting/property destruction,destruction,destroyed,"Property destruction: On 2 May 2022, presumed JNIM militants destroyed a telecommunications station in the village of Yasso (Tominian, Segou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,13071.160240706218,4536432,7264,0.0016
2020_11_28_0.6941_15.4729,MLI,Mali,MLI.2.1_1,Gao,2020,11,28,Mali,Gao,Tassiga,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 28 November 2020, ISGS militants destroyed telecommunications antennas in the village of Tassiga (Ansongo, Gao).",0,Islamic State (West Africa) - Greater Sahara Faction,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,4785.639823461633,1730533,2775,0.0016
2015_12_17_-3.0056_16.7705,MLI,Mali,MLI.9.5_1,Timbuktu,2015,12,17,Mali,Tombouctou,Timbuktu,communications,radio station,Attack on civilians,vac,unknown,An armed man killed three people outside a Christian radio station.,3,Unidentified Armed Group (Mali),,Political Militias,Civilians (Mali),Christian Group (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,610.0,2.0,40000,15000,5000,30000,1000,91000,103821.92115002898,80095514,128151,0.0016
2020_12_31_-3.6102_14.3493,MLI,Mali,MLI.6.1_1,Mopti,2020,12,31,Mali,Mopti,Bandiagara,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 31 December 2020, suspected Katiba Macina (JNIM) militants destroyed a telecommunications antenna in the area of Bandiagara (Bandiagara, Mopti).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,610.0,2.0,40000,15000,5000,30000,1000,91000,30284.440713864467,23967673,38348,0.0016
2022_1_21_-2.9517_14.9951,MLI,Mali,MLI.6.4_1,Mopti,2022,1,21,Mali,Mopti,Douentza,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: Around 21 January 2022 (as reported), presumed JNIM militants destroyed eight telecommunications antennas in the area of Douentza (Douentza, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,610.0,2.0,40000,15000,5000,30000,1000,91000,46595.08296641613,35581336,56931,0.0016
2022_3_3_-1.7481_16.9494,MLI,Mali,MLI.9.3_1,Timbuktu,2022,3,3,Mali,Tombouctou,Banikane,communications,antenna,Looting/property destruction,looting,looting,"Looting: On 3 March 2022, presumed JNIM militants looted solar panels and batteries from a telecommunications antenna in the village of Bonhawa, near Banikane (Gourma-Rharous, Tombouctou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,9555.60547086872,4144879,6633,0.0016
2023_3_10_-6.7275_14.1137,MLI,Mali,MLI.7.6_1,Ségou,2023,3,10,Mali,Segou,Sagala,communications,installation,Looting/property destruction,destruction,destroyed,"Property destruction: On 10 March 2023, FAMa and Wagner forces destroyed a telecommunications installation in Seguela (also called Sagala) (Bellen, Segou).",0,Military Forces of Mali (2021-),Wagner Group,State Forces,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000,1284.8626252752051,512686,827,0.0016
