space_time_id,GID_0,NAME_0,GID_2,NAME_1,year,month,day,country,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,source,radio,mcc,net,ran_usd,tower_usd,power_usd,backhaul_usd,labor_usd,total_usd
2021_9_28_-4.9118_15.7118,MLI,Mali,MLI.9.4_1,Timbuktu,2021,9,28,Mali,Tombouctou,Lere,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 28 September 2021, presumed Katiba Macina (JNIM) militants burned a telecommunication antenna in the town of Lere (Lere, Tombouctou).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2019_6_26_-2.1354_14.2793,MLI,Mali,MLI.6.5_1,Mopti,2019,6,26,Mali,Mopti,Yoro,communications,other,Attack on civilians,ransacking,unknown,"On 26 June 2019, suspected Katiba Macina (JNIM) militants attacked the Dogon village of Yoro, and killed one individual, wounded two others, pillaged shops, seized livestock, and ransacked the telecommunications network.",1,JNIM: Group for Support of Islam and Muslims,Katiba Macina,Rebel Groups,Civilians (Mali),Dogon Ethnic Group (Mali),Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_1_16_-3.8308_13.3821,MLI,Mali,MLI.6.2_1,Mopti,2022,1,16,Mali,Mopti,Ouenkoro,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 January 2022, presumed JNIM militants burned a telecommunications antenna in the commune of Ouonkoro, location coded as Ouenkoro (Bankass, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_4_17_-4.6738_12.8592,MLI,Mali,MLI.7.7_1,Ségou,2022,4,17,Mali,Segou,Diora,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 17 April 2022, presumed JNIM militants destroyed a telecommunications antenna in the commune of Diora, location coded as Diora (Tominian, Segou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2021_12_20_-2.2198_15.0766,MLI,Mali,MLI.6.4_1,Mopti,2021,12,20,Mali,Mopti,Boni,communications,antenna,Remote explosive/landmine/IED,ied,destroyed,"On 20 December 2021, overnight, presumed JNIM militants set off explosives and destroyed a telecommunications antenna in the area of Boni (Douentza, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,,,,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2021_10_15_-3.9728_16.6877,MLI,Mali,MLI.9.2_1,Timbuktu,2021,10,15,Mali,Tombouctou,Mbouna,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 15 October 2021, JNIM militants destroyed a telecommunications antenna in the village of Mbouna (Goundam, Tombouctou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_1_18_-0.9383_17.0008,MLI,Mali,MLI.2.2_1,Gao,2022,1,18,Mali,Gao,Temera,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 18 January 2022, presumed JNIM militants sabotaged a telecommunications antenna in the village of Temera (Bourem, Gao).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2012_5_1_-8.0722_12.7482,MLI,Mali,MLI.5.4_1,Koulikoro,2012,5,1,Mali,Koulikoro,Kati,communications,other,Armed clash,battle,unknown,"Fighting erupted late Monday at ORTM, Bamako airport and at Kati, the garrison town near the capital that is the juntas headquarters and continued Tuesday.",0,Mutiny of Military Forces of Mali (2002-2012),,State Forces,Military Forces of Mali (2012-2013),,State Forces,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,LTE,610.0,2.0,40000,15000,5000,30000,1000,91000
2023_3_1_-3.0552_14.3089,MLI,Mali,MLI.6.5_1,Mopti,2023,3,1,Mali,Mopti,Barapireli,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 1 March 2023, presumed JNIM militants destroyed a telecommunications antenna and hauled down and removed a flag at a school in the village of Barapireli (Koro, Mopti).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Mali),,Civilians,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_1_25_-3.0552_14.3089,MLI,Mali,MLI.6.5_1,Mopti,2022,1,25,Mali,Mopti,Barapireli,communications,antenna,Remote explosive/landmine/IED,ied,destroyed,"On 25 January 2022, Katiba Macina (JNIM) set off explosives and destroyed a telecommunications antenna in the village of Barapireli (Koro, Mopti).",0,Katiba Macina,JNIM: Group for Support of Islam and Muslims,Rebel Groups,,,,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
2022_1_22_-3.0552_14.3089,MLI,Mali,MLI.6.5_1,Mopti,2022,1,22,Mali,Mopti,Barapireli,communications,antenna,Armed clash,sabotage,none,"On 22 January 2022, presumed JNIM militants clashed with a local self-defense militia during an attempt to sabotage the telecommunications antenna in the village of Barapireli (Koro, Mopti). There were no casualties.",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Barapireli Communal Militia (Mali),,Identity Militias,Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,,,40000,15000,5000,30000,1000,91000
