space_time_id,pop,rwi,error,lon_tile,lat_tile
2022_1_19_-4.9589_12.1623,32.15100888408759,-0.459,0.263,-556272.768223893,1366058.110666384
2022_1_19_-4.9589_12.1623,35.853887450780284,-0.459,0.263,-555345.1058043265,1366058.110666384
2022_1_19_-4.9589_12.1623,47.39091077952978,-0.459,0.263,-554417.4433847598,1366058.110666384
2022_1_19_-4.9589_12.1623,52.105287096181826,-0.459,0.263,-553489.7809651932,1366058.110666384
2022_1_19_-4.9589_12.1623,97.56113738365788,-0.556,0.263,-552562.1185456265,1366058.110666384
2022_1_19_-4.9589_12.1623,132.16956770767817,-0.556,0.263,-551634.4561260599,1366058.110666384
2022_1_19_-4.9589_12.1623,54.3027824054657,-0.556,0.263,-550706.7937064932,1366058.110666384
2022_1_19_-4.9589_12.1623,51.35388003594321,-0.175,0.272,-549779.1312869266,1366058.110666384
2022_1_19_-4.9589_12.1623,46.80502330367362,-0.175,0.272,-548851.4688673599,1366058.110666384
2022_1_19_-4.9589_12.1623,45.19809365027119,-0.175,0.272,-547923.8064477934,1366058.110666384
2022_1_19_-4.9589_12.1623,46.969142456578645,-0.226,0.263,-546996.1440282267,1366058.110666384
2022_1_19_-4.9589_12.1623,68.15932329280776,-0.226,0.263,-546068.4816086602,1366058.110666384
2022_1_19_-4.9589_12.1623,123.40118737070559,-0.445,0.261,-545140.8191890935,1366058.110666384
2022_1_19_-4.9589_12.1623,173.52153577679238,-0.445,0.261,-544213.1567695269,1366058.110666384
2022_1_19_-4.9589_12.1623,200.96181215281743,-0.445,0.261,-543285.4943499602,1366058.110666384
2022_1_19_-4.9589_12.1623,85.26290842255773,-0.431,0.259,-542497.5433009022,1365859.6418823435
2022_1_19_-4.9589_12.1623,21.438252145602913,-0.927,0.260,-561681.0043136484,1364899.7804172253
2022_1_19_-4.9589_12.1623,30.33914781971129,-0.927,0.260,-560911.0803217262,1365109.104663775
2022_1_19_-4.9589_12.1623,28.1764826424604,-0.865,0.286,-559983.4179021596,1365109.104663775
2022_1_19_-4.9589_12.1623,31.116231939978434,-0.865,0.286,-559055.755482593,1365109.104663775
2022_1_19_-4.9589_12.1623,30.106132734023934,-0.865,0.286,-558128.0930630263,1365109.104663775
2022_1_19_-4.9589_12.1623,26.316432148091536,-0.865,0.286,-557200.4306434597,1365109.104663775
2022_1_19_-4.9589_12.1623,32.35365736708138,-0.459,0.263,-556272.768223893,1365109.104663775
2022_1_19_-4.9589_12.1623,38.42419636190096,-0.459,0.263,-555345.1058043265,1365109.104663775
2022_1_19_-4.9589_12.1623,54.498167083435526,-0.459,0.263,-554417.4433847598,1365109.104663775
2022_1_19_-4.9589_12.1623,148.86235209019372,-0.459,0.263,-553489.7809651932,1365109.104663775
2022_1_19_-4.9589_12.1623,259.46477294255914,-0.556,0.263,-552562.1185456265,1365109.104663775
2022_1_19_-4.9589_12.1623,253.92842638814457,-0.556,0.263,-551634.4561260599,1365109.104663775
2022_1_19_-4.9589_12.1623,100.106351590796,-0.556,0.263,-550706.7937064932,1365109.104663775
2022_1_19_-4.9589_12.1623,45.51872425793755,-0.175,0.272,-549779.1312869266,1365109.104663775
2022_1_19_-4.9589_12.1623,37.998854669148876,-0.175,0.272,-548851.4688673599,1365109.104663775
2022_1_19_-4.9589_12.1623,36.571480271410174,-0.175,0.272,-547923.8064477934,1365109.104663775
2022_1_19_-4.9589_12.1623,39.51748261838425,-0.226,0.263,-546996.1440282267,1365109.104663775
2022_1_19_-4.9589_12.1623,45.16331798672187,-0.226,0.263,-546068.4816086602,1365109.104663775
2022_1_19_-4.9589_12.1623,50.998850457452875,-0.445,0.261,-545140.8191890935,1365109.104663775
2022_1_19_-4.9589_12.1623,59.45715769344857,-0.445,0.261,-544213.1567695269,1365109.104663775
2022_1_19_-4.9589_12.1623,69.85544161988912,-0.445,0.261,-543285.4943499602,1365109.104663775
2022_1_19_-4.9589_12.1623,58.36269512326651,-0.431,0.259,-542439.5059169591,1364899.7804172253
2022_1_19_-4.9589_12.1623,24.425431341365833,-0.927,0.260,-561692.4370590809,1363935.2140371606
2022_1_19_-4.9589_12.1623,30.031044392997806,-0.927,0.260,-560911.0803217262,1364160.1284286738
2022_1_19_-4.9589_12.1623,28.27730035780397,-0.865,0.286,-559983.4179021596,1364160.1284286738
2022_1_19_-4.9589_12.1623,26.9103433258827,-0.865,0.286,-559055.755482593,1364160.1284286738
2022_1_19_-4.9589_12.1623,26.516433711419,-0.865,0.286,-558128.0930630263,1364160.1284286738
2022_1_19_-4.9589_12.1623,26.735639542567615,-0.865,0.286,-557200.4306434597,1364160.1284286738
2022_1_19_-4.9589_12.1623,33.92918132563846,-0.425,0.274,-556272.768223893,1364160.1284286738
2022_1_19_-4.9589_12.1623,40.95844634459547,-0.425,0.274,-555345.1058043265,1364160.1284286738
2022_1_19_-4.9589_12.1623,150.64485866787655,-0.425,0.274,-554417.4433847598,1364160.1284286738
2022_1_19_-4.9589_12.1623,287.6908425425736,-0.425,0.274,-553489.7809651932,1364160.1284286738
2022_1_19_-4.9589_12.1623,306.81885163493973,-0.438,0.282,-552562.1185456265,1364160.1284286738
2022_1_19_-4.9589_12.1623,272.33676292410024,-0.438,0.282,-551634.4561260599,1364160.1284286738
2022_1_19_-4.9589_12.1623,81.12150421669159,-0.438,0.282,-550706.7937064932,1364160.1284286738
2022_1_19_-4.9589_12.1623,43.82457366873041,-0.446,0.267,-549779.1312869266,1364160.1284286738
2022_1_19_-4.9589_12.1623,35.339448266316914,-0.446,0.267,-548851.4688673599,1364160.1284286738
2022_1_19_-4.9589_12.1623,32.18332219900659,-0.446,0.267,-547923.8064477934,1364160.1284286738
2022_1_19_-4.9589_12.1623,33.76018301917737,-0.841,0.265,-546996.1440282267,1364160.1284286738
2022_1_19_-4.9589_12.1623,36.88485340568033,-0.841,0.265,-546068.4816086602,1364160.1284286738
2022_1_19_-4.9589_12.1623,41.267979377884366,-0.638,0.262,-545140.8191890935,1364160.1284286738
2022_1_19_-4.9589_12.1623,46.86316489795851,-0.638,0.262,-544213.1567695269,1364160.1284286738
2022_1_19_-4.9589_12.1623,54.604983193688774,-0.638,0.262,-543285.4943499602,1364160.1284286738
2022_1_19_-4.9589_12.1623,49.833282405619336,-0.768,0.275,-542428.0731715264,1363935.2140371606
2022_1_19_-4.9589_12.1623,24.233947048905367,-0.476,0.260,-561680.3988757614,1363445.1283355132
2022_1_19_-4.9589_12.1623,32.007138622259475,-0.476,0.260,-560911.0803217262,1363211.1819391402
2022_1_19_-4.9589_12.1623,28.037292149142,-0.763,0.271,-559983.4179021596,1363211.1819391402
2022_1_19_-4.9589_12.1623,25.675743683589523,-0.763,0.271,-559055.755482593,1363211.1819391402
2022_1_19_-4.9589_12.1623,25.849946682896647,-0.763,0.271,-558128.0930630263,1363211.1819391402
2022_1_19_-4.9589_12.1623,27.425854783093023,-0.626,0.273,-557200.4306434597,1363211.1819391402
2022_1_19_-4.9589_12.1623,35.87360133318692,-0.626,0.273,-556272.768223893,1363211.1819391402
2022_1_19_-4.9589_12.1623,47.78452762017746,-0.425,0.274,-555345.1058043265,1363211.1819391402
2022_1_19_-4.9589_12.1623,90.11239264076774,-0.425,0.274,-554417.4433847598,1363211.1819391402
2022_1_19_-4.9589_12.1623,253.10644567092305,-0.425,0.274,-553489.7809651932,1363211.1819391402
2022_1_19_-4.9589_12.1623,277.6617262340222,-0.438,0.282,-552562.1185456265,1363211.1819391402
2022_1_19_-4.9589_12.1623,162.77991126529542,-0.438,0.282,-551634.4561260599,1363211.1819391402
2022_1_19_-4.9589_12.1623,52.717075144050845,-0.438,0.282,-550706.7937064932,1363211.1819391402
2022_1_19_-4.9589_12.1623,41.5754675029899,-0.446,0.267,-549779.1312869266,1363211.1819391402
2022_1_19_-4.9589_12.1623,33.793907689087774,-0.446,0.267,-548851.4688673599,1363211.1819391402
2022_1_19_-4.9589_12.1623,31.06789679010052,-0.446,0.267,-547923.8064477934,1363211.1819391402
2022_1_19_-4.9589_12.1623,30.78315909730611,-0.841,0.265,-546996.1440282267,1363211.1819391402
2022_1_19_-4.9589_12.1623,31.25831740981284,-0.841,0.265,-546068.4816086602,1363211.1819391402
2022_1_19_-4.9589_12.1623,32.53252639250256,-0.638,0.262,-545140.8191890935,1363211.1819391402
2022_1_19_-4.9589_12.1623,34.55653041719472,-0.638,0.262,-544213.1567695269,1363211.1819391402
2022_1_19_-4.9589_12.1623,39.538343643324275,-0.638,0.262,-543285.4943499602,1363211.1819391402
2022_1_19_-4.9589_12.1623,33.821572077528934,-0.768,0.275,-542440.111354846,1363445.1283355132
2022_1_19_-4.9589_12.1623,22.127467997373074,-0.476,0.260,-561621.1410399075,1362485.296615963
2022_1_19_-4.9589_12.1623,36.68436458399255,-0.476,0.260,-560911.0803217262,1362262.2651732366
