space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_1_19_-4.9589_12.1623,153.83017195327582,-0.73,0.262,41072,66,0.0016
2022_1_19_-4.9589_12.1623,141.66793361622325,-0.73,0.262,37825,61,0.0016
2022_1_19_-4.9589_12.1623,83.60200092626002,-0.351,0.277,33357,53,0.0016
2022_1_19_-4.9589_12.1623,179.57252942525434,-0.351,0.277,71649,115,0.0016
2022_1_19_-4.9589_12.1623,78.41304407776077,-0.351,0.277,31286,50,0.0016
2022_1_19_-4.9589_12.1623,97.9896372930337,-0.236,0.276,39097,63,0.0016
2022_1_19_-4.9589_12.1623,67.9846697901187,-0.236,0.276,27125,43,0.0016
2022_1_19_-4.9589_12.1623,72.76554206155572,-0.712,0.372,19428,31,0.0016
2022_1_19_-4.9589_12.1623,78.64152065788723,-0.712,0.372,20997,34,0.0016
2022_1_19_-4.9589_12.1623,52.98379251686699,-0.712,0.372,14146,23,0.0016
2022_1_19_-4.9589_12.1623,0.455237741511669,-0.794,0.269,121,0,0.0016
2022_1_19_-4.9589_12.1623,46.08260261944231,-0.794,0.269,12304,20,0.0016
2022_1_19_-4.9589_12.1623,74.64481327927767,-0.567,0.261,29783,48,0.0016
2022_1_19_-4.9589_12.1623,103.49339192748772,-0.567,0.261,41293,66,0.0016
2022_1_19_-4.9589_12.1623,41.46589893315835,-0.567,0.261,16544,26,0.0016
2022_1_19_-4.9589_12.1623,41.42907568240826,-0.634,0.262,11061,18,0.0016
2022_1_19_-4.9589_12.1623,36.06642278641387,-0.634,0.262,9629,15,0.0016
2022_1_19_-4.9589_12.1623,31.74541380934456,-0.634,0.262,8476,14,0.0016
2022_1_19_-4.9589_12.1623,29.136094885620047,-0.781,0.263,7779,12,0.0016
2022_1_19_-4.9589_12.1623,36.40020654501442,-0.781,0.263,9718,16,0.0016
2022_1_19_-4.9589_12.1623,50.75948758367721,-0.73,0.262,13552,22,0.0016
2022_1_19_-4.9589_12.1623,121.36387269712644,-0.73,0.262,32404,52,0.0016
2022_1_19_-4.9589_12.1623,90.48795310185572,-0.73,0.262,24160,39,0.0016
2022_1_19_-4.9589_12.1623,66.92146221476442,-0.351,0.277,26701,43,0.0016
2022_1_19_-4.9589_12.1623,95.34597565566573,-0.351,0.277,38043,61,0.0016
2022_1_19_-4.9589_12.1623,119.3771636077545,-0.351,0.277,47631,76,0.0016
2022_1_19_-4.9589_12.1623,183.19266321204185,-0.236,0.276,73093,117,0.0016
2022_1_19_-4.9589_12.1623,194.5472825239396,-0.236,0.276,77624,124,0.0016
2022_1_19_-4.9589_12.1623,127.66702983920426,-0.712,0.372,34087,55,0.0016
2022_1_19_-4.9589_12.1623,160.44363237047517,-0.712,0.372,42838,69,0.0016
2022_1_19_-4.9589_12.1623,212.6146808900696,-0.712,0.372,56768,91,0.0016
2022_1_19_-4.9589_12.1623,12.794767118129474,-0.378,0.339,5105,8,0.0016
2022_1_19_-4.9589_12.1623,11.728092773414271,-0.927,0.26,3131,5,0.0016
2022_1_19_-4.9589_12.1623,49.164940750547714,-0.927,0.26,13127,21,0.0016
2022_1_19_-4.9589_12.1623,49.59739548552843,-0.865,0.286,13242,21,0.0016
2022_1_19_-4.9589_12.1623,43.20801665590383,-0.865,0.286,11536,18,0.0016
2022_1_19_-4.9589_12.1623,39.64033394067832,-0.865,0.286,10583,17,0.0016
2022_1_19_-4.9589_12.1623,31.814087428648648,-0.634,0.262,8494,14,0.0016
2022_1_19_-4.9589_12.1623,26.648097808840937,-0.634,0.262,7115,11,0.0016
2022_1_19_-4.9589_12.1623,26.84074714744386,-0.459,0.263,10709,17,0.0016
2022_1_19_-4.9589_12.1623,37.994483076854806,-0.459,0.263,15159,24,0.0016
2022_1_19_-4.9589_12.1623,45.44636939754404,-0.459,0.263,18133,29,0.0016
2022_1_19_-4.9589_12.1623,48.755461201895386,-0.556,0.263,19453,31,0.0016
2022_1_19_-4.9589_12.1623,49.40927838109612,-0.556,0.263,19714,32,0.0016
2022_1_19_-4.9589_12.1623,53.77228003332667,-0.556,0.263,21455,34,0.0016
2022_1_19_-4.9589_12.1623,56.79185963747633,-0.175,0.272,30951,50,0.0016
2022_1_19_-4.9589_12.1623,60.13916393560273,-0.175,0.272,32775,52,0.0016
2022_1_19_-4.9589_12.1623,69.11531163823324,-0.175,0.272,37667,60,0.0016
2022_1_19_-4.9589_12.1623,110.41012767045731,-0.226,0.263,44053,70,0.0016
2022_1_19_-4.9589_12.1623,190.64704154669425,-0.226,0.263,76068,122,0.0016
2022_1_19_-4.9589_12.1623,199.15274367859607,-0.445,0.261,79461,127,0.0016
2022_1_19_-4.9589_12.1623,223.0152067767468,-0.445,0.261,88983,142,0.0016
2022_1_19_-4.9589_12.1623,231.85960231459453,-0.445,0.261,92511,148,0.0016
2022_1_19_-4.9589_12.1623,58.69591420673768,-0.431,0.259,23419,37,0.0016
2022_1_19_-4.9589_12.1623,18.44230821770072,-0.927,0.26,4924,8,0.0016
2022_1_19_-4.9589_12.1623,41.04196559793223,-0.927,0.26,10958,18,0.0016
2022_1_19_-4.9589_12.1623,42.80598537997551,-0.865,0.286,11429,18,0.0016
2022_1_19_-4.9589_12.1623,36.11483451946671,-0.865,0.286,9642,15,0.0016
2022_1_19_-4.9589_12.1623,35.839496925704,-0.865,0.286,9569,15,0.0016
2022_1_19_-4.9589_12.1623,31.950891589218557,-0.865,0.286,8530,14,0.0016
2022_1_19_-4.9589_12.1623,32.15100888408759,-0.459,0.263,12828,21,0.0016
2022_1_19_-4.9589_12.1623,35.853887450780284,-0.459,0.263,14305,23,0.0016
2022_1_19_-4.9589_12.1623,47.39091077952978,-0.459,0.263,18908,30,0.0016
2022_1_19_-4.9589_12.1623,52.10528709618183,-0.459,0.263,20790,33,0.0016
2022_1_19_-4.9589_12.1623,97.56113738365788,-0.556,0.263,38926,62,0.0016
2022_1_19_-4.9589_12.1623,132.16956770767817,-0.556,0.263,52735,84,0.0016
2022_1_19_-4.9589_12.1623,54.3027824054657,-0.556,0.263,21666,35,0.0016
2022_1_19_-4.9589_12.1623,51.35388003594321,-0.175,0.272,27987,45,0.0016
