GID_0,NAME_0,GID_1,NAME_1,year,month,day,country,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,latitude,longitude,coordinate,source,radio,mcc,net,area,distance_to_event_m
BFA,Burkina Faso,GID_1,NAME_1,2022,11,24,Burkina Faso,Cascades,Ouo,communications,installation,Armed clash,ransacking,unknown,"On 24 November 2022, JNIM militants attacked gendarmerie and forest guard positions in the town of Ouo (Ouo, Comoe). The militants abducted a forest guard, vandalized the gendarmerie, the mayor's office, the prefecture, bars, and telecommunications insta",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Police Forces of Burkina Faso (2022-) Gendarmerie,Forest Guards (Burkina Faso),State Forces,10.4009,-3.8473,"10.4009,-3.8473",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,11,24,Burkina Faso,Cascades,Ouo,communications,installation,Armed clash,ransacking,unknown,"On 24 November 2022, JNIM militants attacked gendarmerie and forest guard positions in the town of Ouo (Ouo, Comoe). The militants abducted a forest guard, vandalized the gendarmerie, the mayor's office, the prefecture, bars, and telecommunications insta",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Police Forces of Burkina Faso (2022-) Gendarmerie,Forest Guards (Burkina Faso),State Forces,10.4009,-3.8473,"10.4009,-3.8473",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2022,11,24,Burkina Faso,Cascades,Ouo,communications,installation,Armed clash,ransacking,unknown,"On 24 November 2022, JNIM militants attacked gendarmerie and forest guard positions in the town of Ouo (Ouo, Comoe). The militants abducted a forest guard, vandalized the gendarmerie, the mayor's office, the prefecture, bars, and telecommunications insta",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Police Forces of Burkina Faso (2022-) Gendarmerie,Forest Guards (Burkina Faso),State Forces,10.4009,-3.8473,"10.4009,-3.8473",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,,,,,
BFA,Burkina Faso,GID_1,NAME_1,2023,2,12,Burkina Faso,Centre-Est,Yargatenga,communications,installation,Armed clash,destruction,destroyed,"On 12 February 2023, presumed JNIM militants attacked the town of Yargatenga (Yargatenga, Koulpelogo). One volunteer fighter (VDP) and seventeen civilians were killed. The militants also destroyed telecommunications installations.",18,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,,Identity Militias,11.2137,0.01,"11.2137,0.01",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,3.0,28.0,9515.961105179738
BFA,Burkina Faso,GID_1,NAME_1,2023,2,12,Burkina Faso,Centre-Est,Yargatenga,communications,installation,Armed clash,destruction,destroyed,"On 12 February 2023, presumed JNIM militants attacked the town of Yargatenga (Yargatenga, Koulpelogo). One volunteer fighter (VDP) and seventeen civilians were killed. The militants also destroyed telecommunications installations.",18,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,,Identity Militias,11.2137,0.01,"11.2137,0.01",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,3.0,28.0,9515.961105179738
BFA,Burkina Faso,GID_1,NAME_1,2023,2,12,Burkina Faso,Centre-Est,Yargatenga,communications,installation,Armed clash,destruction,destroyed,"On 12 February 2023, presumed JNIM militants attacked the town of Yargatenga (Yargatenga, Koulpelogo). One volunteer fighter (VDP) and seventeen civilians were killed. The militants also destroyed telecommunications installations.",18,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,,Identity Militias,11.2137,0.01,"11.2137,0.01",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613.0,1.0,140.0,9515.961105179738
BFA,Burkina Faso,GID_1,NAME_1,2022,1,19,Burkina Faso,Boucle du Mouhoun,Soin,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 19 January 2022, presumed JNIM militants sabotaged telecommunications antennas in the village of Soin (Nouna, Kossi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.7772,-3.8072,"12.7772,-3.8072",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613.0,2.0,3002.0,7434.600456020928
BFA,Burkina Faso,GID_1,NAME_1,2022,1,19,Burkina Faso,Boucle du Mouhoun,Soin,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 19 January 2022, presumed JNIM militants sabotaged telecommunications antennas in the village of Soin (Nouna, Kossi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.7772,-3.8072,"12.7772,-3.8072",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613.0,1.0,140.0,7548.72567194188
BFA,Burkina Faso,GID_1,NAME_1,2022,1,19,Burkina Faso,Boucle du Mouhoun,Soin,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: On 19 January 2022, presumed JNIM militants sabotaged telecommunications antennas in the village of Soin (Nouna, Kossi).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.7772,-3.8072,"12.7772,-3.8072",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613.0,1.0,140.0,7548.72567194188
BFA,Burkina Faso,GID_1,NAME_1,2022,2,6,Burkina Faso,Centre-Est,Lalgaye,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 6 February 2022, presumed JNIM militants burned telecommunications antennas in the area of Lalgaye (Lalgaye, Koulpelogo).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.6147,-0.0636,"11.6147,-0.0636",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613.0,1.0,16.0,640.3041981842791
