radio,mcc,net,area,cell,unit,lon,lat,GID_0
GSM,613,1,2,2011,0,-1.5277862548828,12.33283996582,BFA
GSM,613,1,2,2042,0,-1.501865,12.309323,BFA
GSM,613,1,2,2132,0,-1.550939,12.323527,BFA
GSM,613,1,2,2030,0,-1.550602,12.324912,BFA
GSM,613,1,2,2130,0,-1.54788,12.329371,BFA
GSM,613,1,51,5131,0,-0.653584,11.295435,BFA
GSM,613,1,51,5107,0,-0.46897888183594,11.077651977539,BFA
GSM,613,1,51,5112,0,-0.46897888183594,11.077651977539,BFA
GSM,613,1,51,5113,0,-0.46897888183594,11.077651977539,BFA
GSM,613,1,80,8010,0,-0.545855,11.108483,BFA
GSM,613,1,51,5135,0,-0.46897888183594,11.077651977539,BFA
GSM,613,1,8,8031,0,-0.46897888183594,11.077651977539,BFA
GSM,613,1,1,1510,0,-1.517303,12.365936,BFA
GSM,613,1,1,11130,0,-1.517212,12.365799,BFA
GSM,613,1,1,1411,0,-1.523872,12.361734,BFA
GSM,613,1,1,11182,0,-1.528522,12.359067,BFA
GSM,613,1,1,1412,0,-1.528816,12.359619,BFA
GSM,613,1,1,11171,0,-1.5298,12.36058,BFA
GSM,613,1,1,11231,0,-1.5071868896484,12.368545532227,BFA
GSM,613,1,2,2252,0,-1.472855,12.374496,BFA
GSM,613,1,2,2081,0,-1.4728546142578,12.375411987305,BFA
GSM,613,1,2,2060,0,-1.47464,12.372253,BFA
GSM,613,1,2,12051,0,-1.4797210693359,12.363052368164,BFA
GSM,613,1,2,2220,0,-1.482983,12.352123,BFA
GSM,613,1,2,2221,0,-1.477249,12.347397,BFA
GSM,613,1,2,2231,0,-1.479872,12.306901,BFA
GSM,613,1,2,2232,0,-1.503067,12.332611,BFA
GSM,613,1,2,2040,0,-1.489334,12.312241,BFA
GSM,613,1,81,8100,0,-1.0498809814453,11.62971496582,BFA
GSM,613,1,51,5108,0,-0.690053,11.338221,BFA
GSM,613,1,51,5123,0,-0.651323,11.223282,BFA
GSM,613,1,1,1500,0,-1.535771,12.356313,BFA
GSM,613,1,1,11270,0,-1.535723,12.356186,BFA
GSM,613,1,1,11211,0,-1.52916,12.358087,BFA
GSM,613,1,1,11220,0,-1.52564,12.348075,BFA
GSM,613,1,1,11191,0,-1.5195465087891,12.368545532227,BFA
GSM,613,1,1,11690,0,-1.519547,12.367859,BFA
GSM,613,1,1,1662,0,-1.5236663818359,12.363052368164,BFA
GSM,613,1,1,1450,0,-1.524628,12.347534,BFA
GSM,613,1,1,1451,0,-1.5264129638672,12.341079711914,BFA
GSM,613,1,1,11221,0,-1.526413,12.338079,BFA
GSM,613,1,1,11222,0,-1.527328,12.328995,BFA
GSM,613,1,2,12181,0,-1.527786,12.32666,BFA
GSM,613,1,2,12151,0,-1.522187,12.314723,BFA
GSM,613,1,2,2162,0,-1.5222930908203,12.314987182617,BFA
GSM,613,1,2,2140,0,-1.5154266357422,12.305374145508,BFA
GSM,613,1,8,8431,0,-0.464343,11.072674,BFA
GSM,613,1,8,8430,0,-0.466929,11.086039,BFA
GSM,613,1,8,8432,0,-0.471189,11.072689,BFA
GSM,613,1,8,8051,0,-0.466946,11.099646,BFA
GSM,613,1,8,8440,0,-0.46623229980469,11.099624633789,BFA
GSM,613,1,3,1110,0,-1.474228,12.403152,BFA
GSM,613,2,101,2572,0,-1.537433,12.289096,BFA
GSM,613,3,2,24201,0,-4.298695,11.175548,BFA
GSM,613,3,2,40691,0,-4.299688,11.175327,BFA
GSM,613,2,303,3771,0,-0.65574645996094,12.092514038086,BFA
GSM,613,3,1,41063,0,-1.5209197998047,12.36442565918,BFA
GSM,613,1,2,3332,0,-1.5731048583984,12.389144897461,BFA
GSM,613,1,2,3310,0,-1.5731048583984,12.389144897461,BFA
GSM,613,1,2,9141,0,-1.5731048583984,12.389144897461,BFA
GSM,613,2,601,501,0,-2.401654,12.290729,BFA
UMTS,613,2,3001,9906318,0,-1.512268,12.366211,BFA
UMTS,613,2,3001,9906458,0,-1.480408,12.34708,BFA
GSM,613,2,107,2732,0,-1.5264129638672,12.372665405273,BFA
UMTS,613,2,3001,9911927,0,-1.537743,12.345886,BFA
UMTS,613,2,3001,9906659,0,-1.474309,12.381608,BFA
UMTS,613,2,3001,9909558,0,-1.483591,12.383028,BFA
GSM,613,2,101,3003,0,-1.4934539794922,12.33283996582,BFA
GSM,613,2,107,6012,0,-1.5250396728516,12.345199584961,BFA
UMTS,613,2,3001,9911928,0,-1.523209,12.34108,BFA
GSM,613,1,15,2321,0,-1.5813446044922,12.34245300293,BFA
GSM,613,1,15,2180,0,-1.581802,12.342453,BFA
GSM,613,2,701,1401,0,-5.2974700927734,10.456924438477,BFA
GSM,613,2,701,1402,0,-5.2988433837891,10.456924438477,BFA
GSM,613,2,101,443,0,-1.497065,12.3694,BFA
GSM,613,2,101,2641,0,-1.483329,12.375761,BFA
GSM,613,2,101,633,0,-1.51078,12.380913,BFA
GSM,613,2,101,4591,0,-1.499169,12.376168,BFA
GSM,613,2,107,3592,0,-1.533737,12.352982,BFA
UMTS,613,2,3002,9974794,0,-4.265671,11.160507,BFA
GSM,613,2,701,3322,0,-4.2661285400391,11.158676147461,BFA
GSM,613,2,102,413,0,-1.532349,12.301188,BFA
UMTS,613,2,3001,9906038,0,-1.521999,12.350693,BFA
UMTS,613,2,3001,9908199,0,-1.508387,12.341214,BFA
UMTS,613,2,3001,9908197,0,-1.50359,12.34871,BFA
UMTS,613,2,3001,9910409,0,-1.483017,12.309988,BFA
UMTS,613,2,3001,9907087,0,-1.49601,12.318268,BFA
UMTS,613,2,3001,9907999,0,-1.492451,12.320372,BFA
GSM,613,3,200,10803,0,-1.495432,12.338937,BFA
UMTS,613,2,3001,9909559,0,-1.498909,12.382524,BFA
GSM,613,2,301,1741,0,0.028545,14.391011,BFA
UMTS,613,2,3002,9971515,0,-4.754486,10.633466,BFA
UMTS,613,2,3002,9974705,0,-4.749985,10.644608,BFA
UMTS,613,2,3001,9906457,0,-1.482471,12.358491,BFA
GSM,613,2,503,1172,0,0.839462,11.158676,BFA
GSM,613,1,5,1220,0,-1.4975738525391,12.294387817383,BFA
UMTS,613,2,3001,9907098,0,-1.541862,12.315674,BFA
UMTS,613,2,3001,9908567,0,-1.560534,12.416584,BFA
UMTS,613,2,3001,9908569,0,-1.567688,12.412551,BFA
UMTS,613,2,3001,9906477,0,-1.562707,12.415153,BFA
UMTS,613,2,3001,9910487,0,-1.567249,12.412815,BFA
UMTS,613,2,3001,9910369,0,-1.562576,12.415787,BFA
UMTS,613,2,3001,9906478,0,-1.565061,12.391499,BFA
UMTS,613,2,3001,9910509,0,-1.601214,12.335119,BFA
UMTS,613,2,3001,9908497,0,-1.568735,12.331992,BFA
UMTS,613,2,3001,9909529,0,-1.546498,12.353954,BFA
UMTS,613,2,3001,9908667,0,-1.536026,12.381866,BFA
UMTS,613,2,3001,9908669,0,-1.528931,12.377014,BFA
UMTS,613,2,3001,9910378,0,-1.549759,12.365799,BFA
UMTS,613,2,3001,9910379,0,-1.549072,12.363739,BFA
UMTS,613,2,3001,9910468,0,-1.557083,12.353439,BFA
UMTS,613,2,3001,9906388,0,-1.566549,12.339396,BFA
GSM,613,2,107,2561,0,-1.570616,12.342711,BFA
