space_time_id,pop,rwi,error,wealth_usd,wealth_cfa,usd_to_cfa
2022_10_23_-4.6833_9.95,20.76707036297381,-0.858,0.29,3738,6,0.0016
2022_10_23_-4.6833_9.95,21.193621377912383,-0.599,0.314,5955,10,0.0016
2022_10_23_-4.6833_9.95,21.89989630728445,-0.599,0.314,6153,10,0.0016
2022_10_23_-4.6833_9.95,0.725931323735149,-0.599,0.314,203,0,0.0016
2022_10_23_-4.6833_9.95,1.126569275865165,-0.805,0.291,202,0,0.0016
2022_10_23_-4.6833_9.95,18.46721556913729,-0.805,0.291,3324,5,0.0016
2022_10_23_-4.6833_9.95,18.941853400119165,-0.805,0.291,3409,5,0.0016
2022_10_23_-4.6833_9.95,19.643300073687826,-0.805,0.291,3535,6,0.0016
2022_10_23_-4.6833_9.95,20.86707774627,-0.805,0.291,3756,6,0.0016
2022_10_23_-4.6833_9.95,21.01592971485904,-0.805,0.291,3782,6,0.0016
2022_10_23_-4.6833_9.95,21.852073962227895,-0.805,0.291,3933,6,0.0016
2022_10_23_-4.6833_9.95,21.45388098853117,-0.132,0.392,8538,14,0.0016
2022_10_23_-4.6833_9.95,21.29822097772262,-0.132,0.392,8476,14,0.0016
2022_10_23_-4.6833_9.95,21.29587774457806,-0.132,0.392,8475,14,0.0016
2022_10_23_-4.6833_9.95,22.55578220575883,-0.132,0.392,8977,14,0.0016
2022_10_23_-4.6833_9.95,25.21218195430536,-0.132,0.392,10034,16,0.0016
2022_10_23_-4.6833_9.95,23.90503617978001,-0.645,0.369,4302,7,0.0016
2022_10_23_-4.6833_9.95,22.80085172685056,-0.645,0.369,4104,7,0.0016
2022_10_23_-4.6833_9.95,23.849445223457483,-0.645,0.369,4292,7,0.0016
2022_10_23_-4.6833_9.95,22.667914077784804,-0.858,0.29,4080,7,0.0016
2022_10_23_-4.6833_9.95,21.539857312279043,-0.858,0.29,3877,6,0.0016
2022_10_23_-4.6833_9.95,21.518486559400007,-0.858,0.29,3873,6,0.0016
2022_10_23_-4.6833_9.95,21.564776246769583,-0.858,0.29,3881,6,0.0016
2022_10_23_-4.6833_9.95,22.08192413408809,-0.599,0.314,6205,10,0.0016
2022_10_23_-4.6833_9.95,22.622829338892927,-0.599,0.314,6357,10,0.0016
2022_10_23_-4.6833_9.95,7.944605116042078,-0.599,0.314,2232,4,0.0016
2022_10_23_-4.6833_9.95,5.915408775304362,-0.805,0.291,1064,2,0.0016
2022_10_23_-4.6833_9.95,19.28653530032632,-0.805,0.291,3471,6,0.0016
2022_10_23_-4.6833_9.95,19.33381040289833,-0.805,0.291,3480,6,0.0016
2022_10_23_-4.6833_9.95,19.022961646165093,-0.805,0.291,3424,5,0.0016
2022_10_23_-4.6833_9.95,20.27833918756612,-0.805,0.291,3650,6,0.0016
2022_10_23_-4.6833_9.95,21.721737213076736,-0.805,0.291,3909,6,0.0016
2022_10_23_-4.6833_9.95,22.543969355435728,-0.132,0.392,8972,14,0.0016
2022_10_23_-4.6833_9.95,22.30011935336817,-0.132,0.392,8875,14,0.0016
2022_10_23_-4.6833_9.95,21.144761643323378,-0.132,0.392,8415,13,0.0016
2022_10_23_-4.6833_9.95,22.430982076934708,-0.132,0.392,8927,14,0.0016
2022_10_23_-4.6833_9.95,32.267644843900136,-0.132,0.392,12842,21,0.0016
