space_time_id,pop,rwi,error,wealth
2022_10_23_-4.6833_9.95,20.83749056318968,-0.589,0.285,8334.996225275872
2022_10_23_-4.6833_9.95,19.964785063793347,-0.877,0.286,7985.914025517339
2022_10_23_-4.6833_9.95,19.717500282317054,-0.877,0.286,7887.000112926822
2022_10_23_-4.6833_9.95,19.426389547812647,-0.877,0.286,7770.555819125058
2022_10_23_-4.6833_9.95,18.83276573055081,-0.954,0.296,7533.106292220325
2022_10_23_-4.6833_9.95,14.196919271012062,-0.954,0.296,5678.767708404825
2022_10_23_-4.6833_9.95,0.873846919456523,-0.736,0.29,262.1540758369569
2022_10_23_-4.6833_9.95,8.776201189192415,-0.432,0.283,3510.480475676966
2022_10_23_-4.6833_9.95,22.692185417293537,-0.805,0.291,9076.874166917414
2022_10_23_-4.6833_9.95,25.71575382758887,-0.805,0.291,10286.301531035548
2022_10_23_-4.6833_9.95,38.55913191350656,-0.805,0.291,15423.652765402625
2022_10_23_-4.6833_9.95,46.506306323886,-0.805,0.291,18602.5225295544
2022_10_23_-4.6833_9.95,42.0751318437867,-0.329,0.283,21037.56592189335
2022_10_23_-4.6833_9.95,39.2390151042314,-0.329,0.283,19619.507552115698
2022_10_23_-4.6833_9.95,34.15226492918704,-0.548,0.283,13660.905971674816
2022_10_23_-4.6833_9.95,23.161338363488756,-0.548,0.283,9264.535345395503
2022_10_23_-4.6833_9.95,22.45378756235884,-0.589,0.285,8981.515024943536
2022_10_23_-4.6833_9.95,21.612675538805465,-0.589,0.285,8645.070215522186
2022_10_23_-4.6833_9.95,20.76934510625184,-0.589,0.285,8307.738042500736
2022_10_23_-4.6833_9.95,20.343893927502336,-0.589,0.285,8137.557571000934
2022_10_23_-4.6833_9.95,20.294132230134945,-0.877,0.286,8117.652892053978
2022_10_23_-4.6833_9.95,19.428562705677937,-0.877,0.286,7771.425082271175
2022_10_23_-4.6833_9.95,18.97090876182735,-0.954,0.296,7588.36350473094
2022_10_23_-4.6833_9.95,19.10962516009181,-0.736,0.29,5732.887548027543
2022_10_23_-4.6833_9.95,13.030705292717595,-0.736,0.29,3909.2115878152786
2022_10_23_-4.6833_9.95,0.080830407157386,-0.736,0.29,24.2491221472158
2022_10_23_-4.6833_9.95,2.594531310369665,-0.432,0.283,1037.812524147866
2022_10_23_-4.6833_9.95,20.996046407225293,-0.805,0.291,8398.418562890118
2022_10_23_-4.6833_9.95,22.17715774704272,-0.805,0.291,8870.863098817088
2022_10_23_-4.6833_9.95,22.861443540053177,-0.805,0.291,9144.577416021271
2022_10_23_-4.6833_9.95,35.227701563470205,-0.805,0.291,14091.080625388082
2022_10_23_-4.6833_9.95,38.16917646535384,-0.805,0.291,15267.670586141538
2022_10_23_-4.6833_9.95,39.552844845861244,-0.805,0.291,15821.137938344498
2022_10_23_-4.6833_9.95,37.98857826979131,-0.329,0.283,18994.289134895655
2022_10_23_-4.6833_9.95,32.16236561298795,-0.548,0.283,12864.946245195179
2022_10_23_-4.6833_9.95,22.75272261964816,-0.589,0.285,9101.089047859265
2022_10_23_-4.6833_9.95,22.457300118664904,-0.589,0.285,8982.920047465961
2022_10_23_-4.6833_9.95,22.05999508849806,-0.589,0.285,8823.998035399223
2022_10_23_-4.6833_9.95,21.40632122130397,-0.589,0.285,8562.528488521588
2022_10_23_-4.6833_9.95,21.09890361877277,-0.589,0.285,8439.561447509108
2022_10_23_-4.6833_9.95,20.85972492726821,-0.589,0.285,8343.889970907285
2022_10_23_-4.6833_9.95,20.47497167003392,-0.858,0.29,8189.988668013568
