year,month,country_1,admin1,location,infra_cate,infra,sub_event_,damage_inf,severity_i,notes,fatalities,actor1,assoc_acto,inter1,actor2,assoc_ac_1,inter2,latitude,longitude,coordinate,source,radio,mcc,net,area,distance_to_event_m
2022,10,Burkina Faso,Est,Tieri,communications,installation,Looting/property destruction,destruction,destroyed,"Property destruction: On 22 October 2022, presumed JNIM militants destroyed a telecommunications installation in the village of Tieri (Bogande, Gnagna).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.9818,-0.235,"12.9818,-0.235",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,1,18,9726.51359758083
2021,9,Burkina Faso,Boucle du Mouhoun,Baye,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 September 2021, unknown gunmen burned a telecommunications antenna in the village of Baye (Solenzo, Banwa).",0,Unidentified Armed Group (Burkina Faso),,Political Militias,Civilians (Burkina Faso),,Civilians,12.0593,-4.078,"12.0593,-4.078",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2021,9,Burkina Faso,Boucle du Mouhoun,Baye,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 September 2021, unknown gunmen burned a telecommunications antenna in the village of Baye (Solenzo, Banwa).",0,Unidentified Armed Group (Burkina Faso),,Political Militias,Civilians (Burkina Faso),,Civilians,12.0593,-4.078,"12.0593,-4.078",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2021,9,Burkina Faso,Boucle du Mouhoun,Baye,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 16 September 2021, unknown gunmen burned a telecommunications antenna in the village of Baye (Solenzo, Banwa).",0,Unidentified Armed Group (Burkina Faso),,Political Militias,Civilians (Burkina Faso),,Civilians,12.0593,-4.078,"12.0593,-4.078",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,1,Burkina Faso,Centre-Nord,Namssiguia,communications,antenna,Armed clash,arson,burned,"On 15 January 2022, presumed JNIM militants and volunteer fighters (VDP) and Koglweogo clashed in the village of Namssiguia (Bourzanga, Bam). The militants killed at least nine civilians, wounded a volunteer fighter (VDP), burned an ambulance, a telecomm",9,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,Koglweogo Militia,Identity Militias,13.8317,-1.6082,"13.8317,-1.6082",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,1,Burkina Faso,Centre-Nord,Namssiguia,communications,antenna,Armed clash,arson,burned,"On 15 January 2022, presumed JNIM militants and volunteer fighters (VDP) and Koglweogo clashed in the village of Namssiguia (Bourzanga, Bam). The militants killed at least nine civilians, wounded a volunteer fighter (VDP), burned an ambulance, a telecomm",9,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,Koglweogo Militia,Identity Militias,13.8317,-1.6082,"13.8317,-1.6082",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,1,Burkina Faso,Centre-Nord,Namssiguia,communications,antenna,Armed clash,arson,burned,"On 15 January 2022, presumed JNIM militants and volunteer fighters (VDP) and Koglweogo clashed in the village of Namssiguia (Bourzanga, Bam). The militants killed at least nine civilians, wounded a volunteer fighter (VDP), burned an ambulance, a telecomm",9,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,Koglweogo Militia,Identity Militias,13.8317,-1.6082,"13.8317,-1.6082",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,11,Burkina Faso,Hauts-Bassins,Koundougou,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 5 November 2022, presumed JNIM militants vandalized and burned the mayor's office and a telecommunications installation in the village of Koundougou (Koundougou, Houet).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-),Civilians,11.7248,-4.5104,"11.7248,-4.5104",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,11,Burkina Faso,Hauts-Bassins,Koundougou,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 5 November 2022, presumed JNIM militants vandalized and burned the mayor's office and a telecommunications installation in the village of Koundougou (Koundougou, Houet).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-),Civilians,11.7248,-4.5104,"11.7248,-4.5104",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,11,Burkina Faso,Hauts-Bassins,Koundougou,communications,installation,Looting/property destruction,arson,burned,"Property destruction: On 5 November 2022, presumed JNIM militants vandalized and burned the mayor's office and a telecommunications installation in the village of Koundougou (Koundougou, Houet).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-),Civilians,11.7248,-4.5104,"11.7248,-4.5104",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,10,Burkina Faso,Boucle du Mouhoun,Tougan,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 6 October 2022, presumed JNIM militants burned a Digital Terrestrial Television (DTT) antenna in Tougan (Tougan, Sourou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.0725,-3.0694,"13.0725,-3.0694",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613,1,140,473.85220838887057
2022,10,Burkina Faso,Boucle du Mouhoun,Tougan,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 6 October 2022, presumed JNIM militants burned a Digital Terrestrial Television (DTT) antenna in Tougan (Tougan, Sourou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.0725,-3.0694,"13.0725,-3.0694",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613,1,140,688.5778184802074
2022,10,Burkina Faso,Boucle du Mouhoun,Tougan,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 6 October 2022, presumed JNIM militants burned a Digital Terrestrial Television (DTT) antenna in Tougan (Tougan, Sourou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.0725,-3.0694,"13.0725,-3.0694",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,UMTS,613,2,3004,1027.831923655774
2022,3,Burkina Faso,Boucle du Mouhoun,Bonou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 5 March 2022, presumed JNIM militants burned a telecommunications antenna in the village of Bonou (Tougan, Sourou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.1271,-2.8146,"13.1271,-2.8146",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,3,Burkina Faso,Boucle du Mouhoun,Bonou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 5 March 2022, presumed JNIM militants burned a telecommunications antenna in the village of Bonou (Tougan, Sourou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.1271,-2.8146,"13.1271,-2.8146",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,3,Burkina Faso,Boucle du Mouhoun,Bonou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 5 March 2022, presumed JNIM militants burned a telecommunications antenna in the village of Bonou (Tougan, Sourou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.1271,-2.8146,"13.1271,-2.8146",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2022,8,Burkina Faso,Centre-Est,Banogo,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 25 August 2022, presumed JNIM militants burned a telecommunications antenna in the village of Banogo (Gounguen, Kourittenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.25,-0.1167,"12.25,-0.1167",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,503,9761.690793255839
2022,8,Burkina Faso,Centre-Est,Banogo,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 25 August 2022, presumed JNIM militants burned a telecommunications antenna in the village of Banogo (Gounguen, Kourittenga).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.25,-0.1167,"12.25,-0.1167",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,503,9793.05292966169
2023,2,Burkina Faso,Est,Partiaga,communications,installation,Non-state actor overtakes territory,arson,burned,"On 26 February 2023, presumed JNIM militants captured the town of Partiaga (Partiaga, Tapoa). The militants burnt the Gendarmerie (empty), the town hall (empty) and cell phone installations. About sixty civilians and five volunteer fighters were killed.",65,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,,Identity Militias,11.9333,1.6167,"11.9333,1.6167",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2023,2,Burkina Faso,Est,Partiaga,communications,installation,Non-state actor overtakes territory,arson,burned,"On 26 February 2023, presumed JNIM militants captured the town of Partiaga (Partiaga, Tapoa). The militants burnt the Gendarmerie (empty), the town hall (empty) and cell phone installations. About sixty civilians and five volunteer fighters were killed.",65,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,,Identity Militias,11.9333,1.6167,"11.9333,1.6167",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2023,2,Burkina Faso,Est,Partiaga,communications,installation,Non-state actor overtakes territory,arson,burned,"On 26 February 2023, presumed JNIM militants captured the town of Partiaga (Partiaga, Tapoa). The militants burnt the Gendarmerie (empty), the town hall (empty) and cell phone installations. About sixty civilians and five volunteer fighters were killed.",65,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,VDP: Volunteer for Defense of Homeland,,Identity Militias,11.9333,1.6167,"11.9333,1.6167",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
2023,3,Burkina Faso,Boucle du Mouhoun,Kera,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 29 March 2023, presumed JNIM militants destroyed cell phone network antenna in the village of Kera (Bondokui, Mouhoun).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.9633,-3.709,"11.9633,-3.709",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,802,8797.797247232429
2023,3,Burkina Faso,Boucle du Mouhoun,Kera,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 29 March 2023, presumed JNIM militants destroyed cell phone network antenna in the village of Kera (Bondokui, Mouhoun).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.9633,-3.709,"11.9633,-3.709",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,802,8872.696661920701
2023,3,Burkina Faso,Boucle du Mouhoun,Kera,communications,antenna,Looting/property destruction,destruction,destroyed,"Property destruction: On 29 March 2023, presumed JNIM militants destroyed cell phone network antenna in the village of Kera (Bondokui, Mouhoun).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,11.9633,-3.709,"11.9633,-3.709",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,802,9729.852130585356
2022,11,Burkina Faso,Nord,Boussou,communications,antenna,Looting/property destruction,sabotage_removed,unknown,"Looting: On 7 November 2022, presumed JNIM militants burned the prefecture and sabotaged a telecommunications antenna by removing the solar panels in the village of Boussou (Boussou, Zondoma).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),Government of Burkina Faso (2022-),Civilians,13.0281,-2.5622,"13.0281,-2.5622",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,1,30,9752.685668173934
2022,10,Burkina Faso,Nord,Boussou,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 5 October 2022, presumed JNIM militants burned the mayor's office, police station, and telecommunications antennas in the village of Boussou (Boussou, Zondoma).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,13.0281,-2.5622,"13.0281,-2.5622",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,1,30,9752.685668173934
2022,2,Burkina Faso,Est,Bantoini,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 21 February 2022, presumed JNIM militants burned a telecommunications antenna in the village of Bantoini (Kantchari, Tapoa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.5423,1.562,"12.5423,1.562",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,2,503,8652.381332532657
2022,2,Burkina Faso,Est,Bantoini,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 21 February 2022, presumed JNIM militants burned a telecommunications antenna in the village of Bantoini (Kantchari, Tapoa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.5423,1.562,"12.5423,1.562",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,1,27,9650.173296334817
2022,2,Burkina Faso,Est,Bantoini,communications,antenna,Looting/property destruction,arson,burned,"Property destruction: On 21 February 2022, presumed JNIM militants burned a telecommunications antenna in the village of Bantoini (Kantchari, Tapoa).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.5423,1.562,"12.5423,1.562",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,GSM,613,1,27,9745.156647396698
2022,2,Burkina Faso,Boucle du Mouhoun,Lanfiera,communications,antenna,Looting/property destruction,sabotage,unknown,"Property destruction: Around 4 February 2022 (as reported), presumed JNIM militants sabotaged a telecommunications installation in the town of Lanfiera (Lanfiera, Sourou).",0,JNIM: Group for Support of Islam and Muslims,,Rebel Groups,Civilians (Burkina Faso),,Civilians,12.9833,-3.4088,"12.9833,-3.4088",Armed Conflict Location & Event Data Project (ACLED); www.acleddata.com,NA,NA,NA,NA,NA
